"","GEOID","NAME","label","estimate","measure_type"
"40","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8",4.1,"percent"
"41","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12",4.9,"percent"
"42","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!College, undergraduate",2.2,"percent"
"43","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 years and over enrolled in school!!Graduate, professional school",38.8,"percent"
"44","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school",9.5,"percent"
"45","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Males enrolled in college or graduate school",0,"percent"
"46","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population enrolled in college or graduate school!!Females enrolled in college or graduate school",16.6,"percent"
"47","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years",NA,"percent"
"48","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 3 to 4 years!!3 to 4 year olds enrolled in school",100,"percent"
"49","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years",NA,"percent"
"50","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 5 to 9 years!!5 to 9 year olds enrolled in school",7.5,"percent"
"51","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years",NA,"percent"
"52","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 10 to 14 years!!10 to 14 year olds enrolled in school",3.4,"percent"
"53","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17",NA,"percent"
"54","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 15 to 17!!15 to 17 year olds enrolled in school",7.1,"percent"
"55","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years",NA,"percent"
"56","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 18 to 19 years!!18 and 19 year olds enrolled in school",0,"percent"
"57","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years",NA,"percent"
"58","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 20 to 24 years!!20 to 24 year olds enrolled in school",3.3,"percent"
"59","4800009","Wimberley Independent School District, Texas","Estimate!!Percent in private school!!Population 25 to 34 years",NA,"percent"
