"","GEOID","age","estimate"
"1","484530001011","10 to 14 years",45
"2","484530001011","15 to 17 years",45
"3","484530001011","18 and 19 years",10
"4","484530001011","20 years",0
"5","484530001011","21 years",0
"6","484530001011","22 to 24 years",0
"7","484530001011","25 to 29 years",53
"8","484530001011","30 to 34 years",91
"9","484530001011","35 to 39 years",52
"10","484530001011","40 to 44 years",112
"11","484530001011","45 to 49 years",134
"12","484530001011","5 to 9 years",70
"13","484530001011","50 to 54 years",61
"14","484530001011","55 to 59 years",64
"15","484530001011","60 and 61 years",12
"16","484530001011","62 to 64 years",32
"17","484530001011","65 and 66 years",35
"18","484530001011","67 to 69 years",16
"19","484530001011","70 to 74 years",27
"20","484530001011","75 to 79 years",0
"21","484530001011","80 to 84 years",9
"22","484530001011","85 years and over",26
"23","484530001011","Under 5 years",46
"24","484530001012","10 to 14 years",61
"25","484530001012","15 to 17 years",50
"26","484530001012","18 and 19 years",13
"27","484530001012","20 years",10
"28","484530001012","21 years",10
"29","484530001012","22 to 24 years",183
"30","484530001012","25 to 29 years",124
"31","484530001012","30 to 34 years",164
"32","484530001012","35 to 39 years",100
"33","484530001012","40 to 44 years",190
"34","484530001012","45 to 49 years",71
"35","484530001012","5 to 9 years",175
"36","484530001012","50 to 54 years",118
"37","484530001012","55 to 59 years",94
"38","484530001012","60 and 61 years",25
"39","484530001012","62 to 64 years",9
"40","484530001012","65 and 66 years",22
"41","484530001012","67 to 69 years",19
"42","484530001012","70 to 74 years",48
"43","484530001012","75 to 79 years",25
"44","484530001012","80 to 84 years",11
"45","484530001012","85 years and over",16
"46","484530001012","Under 5 years",83
"47","484530001013","10 to 14 years",11
"48","484530001013","15 to 17 years",30
"49","484530001013","18 and 19 years",29
"50","484530001013","20 years",0
"51","484530001013","21 years",52
"52","484530001013","22 to 24 years",116
"53","484530001013","25 to 29 years",216
"54","484530001013","30 to 34 years",255
"55","484530001013","35 to 39 years",224
"56","484530001013","40 to 44 years",65
"57","484530001013","45 to 49 years",60
"58","484530001013","5 to 9 years",89
"59","484530001013","50 to 54 years",132
"60","484530001013","55 to 59 years",52
"61","484530001013","60 and 61 years",56
"62","484530001013","62 to 64 years",25
"63","484530001013","65 and 66 years",24
"64","484530001013","67 to 69 years",25
"65","484530001013","70 to 74 years",84
"66","484530001013","75 to 79 years",40
"67","484530001013","80 to 84 years",49
"68","484530001013","85 years and over",307
"69","484530001013","Under 5 years",150
"70","484530001021","10 to 14 years",132
"71","484530001021","15 to 17 years",29
"72","484530001021","18 and 19 years",18
"73","484530001021","20 years",0
"74","484530001021","21 years",9
"75","484530001021","22 to 24 years",31
"76","484530001021","25 to 29 years",23
"77","484530001021","30 to 34 years",79
"78","484530001021","35 to 39 years",55
"79","484530001021","40 to 44 years",130
"80","484530001021","45 to 49 years",124
"81","484530001021","5 to 9 years",85
"82","484530001021","50 to 54 years",83
"83","484530001021","55 to 59 years",122
"84","484530001021","60 and 61 years",106
"85","484530001021","62 to 64 years",61
"86","484530001021","65 and 66 years",33
"87","484530001021","67 to 69 years",52
"88","484530001021","70 to 74 years",228
"89","484530001021","75 to 79 years",43
"90","484530001021","80 to 84 years",51
"91","484530001021","85 years and over",45
"92","484530001021","Under 5 years",52
"93","484530001022","10 to 14 years",90
"94","484530001022","15 to 17 years",37
"95","484530001022","18 and 19 years",32
"96","484530001022","20 years",0
"97","484530001022","21 years",0
"98","484530001022","22 to 24 years",0
"99","484530001022","25 to 29 years",0
"100","484530001022","30 to 34 years",0
"101","484530001022","35 to 39 years",64
"102","484530001022","40 to 44 years",89
"103","484530001022","45 to 49 years",120
"104","484530001022","5 to 9 years",23
"105","484530001022","50 to 54 years",58
"106","484530001022","55 to 59 years",59
"107","484530001022","60 and 61 years",36
"108","484530001022","62 to 64 years",45
"109","484530001022","65 and 66 years",14
"110","484530001022","67 to 69 years",18
"111","484530001022","70 to 74 years",85
"112","484530001022","75 to 79 years",45
"113","484530001022","80 to 84 years",9
"114","484530001022","85 years and over",81
"115","484530001022","Under 5 years",108
"116","484530002031","10 to 14 years",26
"117","484530002031","15 to 17 years",62
"118","484530002031","18 and 19 years",37
"119","484530002031","20 years",82
"120","484530002031","21 years",96
"121","484530002031","22 to 24 years",377
"122","484530002031","25 to 29 years",508
"123","484530002031","30 to 34 years",168
"124","484530002031","35 to 39 years",112
"125","484530002031","40 to 44 years",33
"126","484530002031","45 to 49 years",101
"127","484530002031","5 to 9 years",12
"128","484530002031","50 to 54 years",55
"129","484530002031","55 to 59 years",65
"130","484530002031","60 and 61 years",11
"131","484530002031","62 to 64 years",25
"132","484530002031","65 and 66 years",9
"133","484530002031","67 to 69 years",10
"134","484530002031","70 to 74 years",28
"135","484530002031","75 to 79 years",30
"136","484530002031","80 to 84 years",6
"137","484530002031","85 years and over",4
"138","484530002031","Under 5 years",33
"139","484530002041","10 to 14 years",26
"140","484530002041","15 to 17 years",7
"141","484530002041","18 and 19 years",100
"142","484530002041","20 years",94
"143","484530002041","21 years",13
"144","484530002041","22 to 24 years",121
"145","484530002041","25 to 29 years",336
"146","484530002041","30 to 34 years",7
"147","484530002041","35 to 39 years",19
"148","484530002041","40 to 44 years",28
"149","484530002041","45 to 49 years",75
"150","484530002041","5 to 9 years",47
"151","484530002041","50 to 54 years",64
"152","484530002041","55 to 59 years",61
"153","484530002041","60 and 61 years",40
"154","484530002041","62 to 64 years",39
"155","484530002041","65 and 66 years",0
"156","484530002041","67 to 69 years",10
"157","484530002041","70 to 74 years",32
"158","484530002041","75 to 79 years",0
"159","484530002041","80 to 84 years",10
"160","484530002041","85 years and over",0
"161","484530002041","Under 5 years",32
"162","484530002042","10 to 14 years",49
"163","484530002042","15 to 17 years",15
"164","484530002042","18 and 19 years",0
"165","484530002042","20 years",10
"166","484530002042","21 years",0
"167","484530002042","22 to 24 years",28
"168","484530002042","25 to 29 years",201
"169","484530002042","30 to 34 years",62
"170","484530002042","35 to 39 years",166
"171","484530002042","40 to 44 years",44
"172","484530002042","45 to 49 years",36
"173","484530002042","5 to 9 years",61
"174","484530002042","50 to 54 years",86
"175","484530002042","55 to 59 years",53
"176","484530002042","60 and 61 years",14
"177","484530002042","62 to 64 years",85
"178","484530002042","65 and 66 years",32
"179","484530002042","67 to 69 years",56
"180","484530002042","70 to 74 years",60
"181","484530002042","75 to 79 years",37
"182","484530002042","80 to 84 years",18
"183","484530002042","85 years and over",76
"184","484530002042","Under 5 years",39
"185","484530002043","10 to 14 years",27
"186","484530002043","15 to 17 years",35
"187","484530002043","18 and 19 years",6
"188","484530002043","20 years",0
"189","484530002043","21 years",2
"190","484530002043","22 to 24 years",2
"191","484530002043","25 to 29 years",49
"192","484530002043","30 to 34 years",63
"193","484530002043","35 to 39 years",100
"194","484530002043","40 to 44 years",27
"195","484530002043","45 to 49 years",68
"196","484530002043","5 to 9 years",14
"197","484530002043","50 to 54 years",37
"198","484530002043","55 to 59 years",49
"199","484530002043","60 and 61 years",0
"200","484530002043","62 to 64 years",25
"201","484530002043","65 and 66 years",18
"202","484530002043","67 to 69 years",10
"203","484530002043","70 to 74 years",19
"204","484530002043","75 to 79 years",9
"205","484530002043","80 to 84 years",0
"206","484530002043","85 years and over",10
"207","484530002043","Under 5 years",54
"208","484530002051","10 to 14 years",7
"209","484530002051","15 to 17 years",0
"210","484530002051","18 and 19 years",0
"211","484530002051","20 years",0
"212","484530002051","21 years",0
"213","484530002051","22 to 24 years",54
"214","484530002051","25 to 29 years",308
"215","484530002051","30 to 34 years",315
"216","484530002051","35 to 39 years",179
"217","484530002051","40 to 44 years",93
"218","484530002051","45 to 49 years",84
"219","484530002051","5 to 9 years",0
"220","484530002051","50 to 54 years",75
"221","484530002051","55 to 59 years",105
"222","484530002051","60 and 61 years",29
"223","484530002051","62 to 64 years",0
"224","484530002051","65 and 66 years",37
"225","484530002051","67 to 69 years",98
"226","484530002051","70 to 74 years",102
"227","484530002051","75 to 79 years",18
"228","484530002051","80 to 84 years",0
"229","484530002051","85 years and over",0
"230","484530002051","Under 5 years",44
"231","484530002052","10 to 14 years",7
"232","484530002052","15 to 17 years",0
"233","484530002052","18 and 19 years",0
"234","484530002052","20 years",0
"235","484530002052","21 years",13
"236","484530002052","22 to 24 years",135
"237","484530002052","25 to 29 years",655
"238","484530002052","30 to 34 years",144
"239","484530002052","35 to 39 years",164
"240","484530002052","40 to 44 years",183
"241","484530002052","45 to 49 years",64
"242","484530002052","5 to 9 years",59
"243","484530002052","50 to 54 years",49
"244","484530002052","55 to 59 years",24
"245","484530002052","60 and 61 years",73
"246","484530002052","62 to 64 years",25
"247","484530002052","65 and 66 years",0
"248","484530002052","67 to 69 years",30
"249","484530002052","70 to 74 years",16
"250","484530002052","75 to 79 years",16
"251","484530002052","80 to 84 years",0
"252","484530002052","85 years and over",15
"253","484530002052","Under 5 years",95
"254","484530002053","10 to 14 years",0
"255","484530002053","15 to 17 years",7
"256","484530002053","18 and 19 years",0
"257","484530002053","20 years",0
"258","484530002053","21 years",0
"259","484530002053","22 to 24 years",13
"260","484530002053","25 to 29 years",156
"261","484530002053","30 to 34 years",66
"262","484530002053","35 to 39 years",84
"263","484530002053","40 to 44 years",67
"264","484530002053","45 to 49 years",36
"265","484530002053","5 to 9 years",0
"266","484530002053","50 to 54 years",40
"267","484530002053","55 to 59 years",26
"268","484530002053","60 and 61 years",29
"269","484530002053","62 to 64 years",0
"270","484530002053","65 and 66 years",0
"271","484530002053","67 to 69 years",0
"272","484530002053","70 to 74 years",0
"273","484530002053","75 to 79 years",0
"274","484530002053","80 to 84 years",0
"275","484530002053","85 years and over",42
"276","484530002053","Under 5 years",61
"277","484530002061","10 to 14 years",54
"278","484530002061","15 to 17 years",9
"279","484530002061","18 and 19 years",8
"280","484530002061","20 years",0
"281","484530002061","21 years",0
"282","484530002061","22 to 24 years",28
"283","484530002061","25 to 29 years",135
"284","484530002061","30 to 34 years",325
"285","484530002061","35 to 39 years",83
"286","484530002061","40 to 44 years",68
"287","484530002061","45 to 49 years",62
"288","484530002061","5 to 9 years",52
"289","484530002061","50 to 54 years",60
"290","484530002061","55 to 59 years",82
"291","484530002061","60 and 61 years",46
"292","484530002061","62 to 64 years",53
"293","484530002061","65 and 66 years",12
"294","484530002061","67 to 69 years",34
"295","484530002061","70 to 74 years",48
"296","484530002061","75 to 79 years",26
"297","484530002061","80 to 84 years",11
"298","484530002061","85 years and over",10
"299","484530002061","Under 5 years",77
"300","484530002062","10 to 14 years",57
"301","484530002062","15 to 17 years",0
"302","484530002062","18 and 19 years",0
"303","484530002062","20 years",0
"304","484530002062","21 years",0
"305","484530002062","22 to 24 years",31
"306","484530002062","25 to 29 years",77
"307","484530002062","30 to 34 years",58
"308","484530002062","35 to 39 years",19
"309","484530002062","40 to 44 years",93
"310","484530002062","45 to 49 years",27
"311","484530002062","5 to 9 years",54
"312","484530002062","50 to 54 years",67
"313","484530002062","55 to 59 years",90
"314","484530002062","60 and 61 years",17
"315","484530002062","62 to 64 years",12
"316","484530002062","65 and 66 years",44
"317","484530002062","67 to 69 years",20
"318","484530002062","70 to 74 years",22
"319","484530002062","75 to 79 years",23
"320","484530002062","80 to 84 years",21
"321","484530002062","85 years and over",34
"322","484530002062","Under 5 years",37
"323","484530002063","10 to 14 years",49
"324","484530002063","15 to 17 years",39
"325","484530002063","18 and 19 years",43
"326","484530002063","20 years",11
"327","484530002063","21 years",11
"328","484530002063","22 to 24 years",54
"329","484530002063","25 to 29 years",226
"330","484530002063","30 to 34 years",255
"331","484530002063","35 to 39 years",98
"332","484530002063","40 to 44 years",95
"333","484530002063","45 to 49 years",143
"334","484530002063","5 to 9 years",28
"335","484530002063","50 to 54 years",44
"336","484530002063","55 to 59 years",32
"337","484530002063","60 and 61 years",28
"338","484530002063","62 to 64 years",11
"339","484530002063","65 and 66 years",0
"340","484530002063","67 to 69 years",55
"341","484530002063","70 to 74 years",32
"342","484530002063","75 to 79 years",0
"343","484530002063","80 to 84 years",0
"344","484530002063","85 years and over",10
"345","484530002063","Under 5 years",11
"346","484530003021","10 to 14 years",17
"347","484530003021","15 to 17 years",0
"348","484530003021","18 and 19 years",0
"349","484530003021","20 years",0
"350","484530003021","21 years",10
"351","484530003021","22 to 24 years",71
"352","484530003021","25 to 29 years",240
"353","484530003021","30 to 34 years",76
"354","484530003021","35 to 39 years",87
"355","484530003021","40 to 44 years",150
"356","484530003021","45 to 49 years",120
"357","484530003021","5 to 9 years",57
"358","484530003021","50 to 54 years",92
"359","484530003021","55 to 59 years",56
"360","484530003021","60 and 61 years",16
"361","484530003021","62 to 64 years",31
"362","484530003021","65 and 66 years",0
"363","484530003021","67 to 69 years",0
"364","484530003021","70 to 74 years",37
"365","484530003021","75 to 79 years",0
"366","484530003021","80 to 84 years",0
"367","484530003021","85 years and over",0
"368","484530003021","Under 5 years",63
"369","484530003022","10 to 14 years",11
"370","484530003022","15 to 17 years",6
"371","484530003022","18 and 19 years",42
"372","484530003022","20 years",10
"373","484530003022","21 years",113
"374","484530003022","22 to 24 years",128
"375","484530003022","25 to 29 years",275
"376","484530003022","30 to 34 years",141
"377","484530003022","35 to 39 years",52
"378","484530003022","40 to 44 years",40
"379","484530003022","45 to 49 years",16
"380","484530003022","5 to 9 years",20
"381","484530003022","50 to 54 years",0
"382","484530003022","55 to 59 years",55
"383","484530003022","60 and 61 years",0
"384","484530003022","62 to 64 years",18
"385","484530003022","65 and 66 years",11
"386","484530003022","67 to 69 years",9
"387","484530003022","70 to 74 years",36
"388","484530003022","75 to 79 years",0
"389","484530003022","80 to 84 years",0
"390","484530003022","85 years and over",13
"391","484530003022","Under 5 years",23
"392","484530003023","10 to 14 years",60
"393","484530003023","15 to 17 years",0
"394","484530003023","18 and 19 years",14
"395","484530003023","20 years",33
"396","484530003023","21 years",55
"397","484530003023","22 to 24 years",69
"398","484530003023","25 to 29 years",203
"399","484530003023","30 to 34 years",16
"400","484530003023","35 to 39 years",49
"401","484530003023","40 to 44 years",128
"402","484530003023","45 to 49 years",149
"403","484530003023","5 to 9 years",18
"404","484530003023","50 to 54 years",18
"405","484530003023","55 to 59 years",17
"406","484530003023","60 and 61 years",0
"407","484530003023","62 to 64 years",19
"408","484530003023","65 and 66 years",0
"409","484530003023","67 to 69 years",30
"410","484530003023","70 to 74 years",16
"411","484530003023","75 to 79 years",14
"412","484530003023","80 to 84 years",0
"413","484530003023","85 years and over",0
"414","484530003023","Under 5 years",19
"415","484530003024","10 to 14 years",53
"416","484530003024","15 to 17 years",0
"417","484530003024","18 and 19 years",20
"418","484530003024","20 years",0
"419","484530003024","21 years",20
"420","484530003024","22 to 24 years",26
"421","484530003024","25 to 29 years",289
"422","484530003024","30 to 34 years",164
"423","484530003024","35 to 39 years",57
"424","484530003024","40 to 44 years",89
"425","484530003024","45 to 49 years",7
"426","484530003024","5 to 9 years",38
"427","484530003024","50 to 54 years",82
"428","484530003024","55 to 59 years",18
"429","484530003024","60 and 61 years",0
"430","484530003024","62 to 64 years",24
"431","484530003024","65 and 66 years",54
"432","484530003024","67 to 69 years",16
"433","484530003024","70 to 74 years",0
"434","484530003024","75 to 79 years",16
"435","484530003024","80 to 84 years",0
"436","484530003024","85 years and over",0
"437","484530003024","Under 5 years",0
"438","484530003025","10 to 14 years",0
"439","484530003025","15 to 17 years",16
"440","484530003025","18 and 19 years",0
"441","484530003025","20 years",27
"442","484530003025","21 years",0
"443","484530003025","22 to 24 years",39
"444","484530003025","25 to 29 years",248
"445","484530003025","30 to 34 years",188
"446","484530003025","35 to 39 years",133
"447","484530003025","40 to 44 years",0
"448","484530003025","45 to 49 years",81
"449","484530003025","5 to 9 years",0
"450","484530003025","50 to 54 years",51
"451","484530003025","55 to 59 years",17
"452","484530003025","60 and 61 years",30
"453","484530003025","62 to 64 years",12
"454","484530003025","65 and 66 years",19
"455","484530003025","67 to 69 years",42
"456","484530003025","70 to 74 years",55
"457","484530003025","75 to 79 years",29
"458","484530003025","80 to 84 years",0
"459","484530003025","85 years and over",5
"460","484530003025","Under 5 years",41
"461","484530003041","10 to 14 years",25
"462","484530003041","15 to 17 years",49
"463","484530003041","18 and 19 years",7
"464","484530003041","20 years",35
"465","484530003041","21 years",28
"466","484530003041","22 to 24 years",62
"467","484530003041","25 to 29 years",302
"468","484530003041","30 to 34 years",181
"469","484530003041","35 to 39 years",106
"470","484530003041","40 to 44 years",48
"471","484530003041","45 to 49 years",77
"472","484530003041","5 to 9 years",0
