"","GEOID","age","estimate"
"473","484530003041","50 to 54 years",80
"474","484530003041","55 to 59 years",34
"475","484530003041","60 and 61 years",17
"476","484530003041","62 to 64 years",7
"477","484530003041","65 and 66 years",12
"478","484530003041","67 to 69 years",5
"479","484530003041","70 to 74 years",0
"480","484530003041","75 to 79 years",34
"481","484530003041","80 to 84 years",22
"482","484530003041","85 years and over",7
"483","484530003041","Under 5 years",48
"484","484530003042","10 to 14 years",36
"485","484530003042","15 to 17 years",29
"486","484530003042","18 and 19 years",49
"487","484530003042","20 years",0
"488","484530003042","21 years",169
"489","484530003042","22 to 24 years",221
"490","484530003042","25 to 29 years",472
"491","484530003042","30 to 34 years",233
"492","484530003042","35 to 39 years",200
"493","484530003042","40 to 44 years",131
"494","484530003042","45 to 49 years",151
"495","484530003042","5 to 9 years",50
"496","484530003042","50 to 54 years",29
"497","484530003042","55 to 59 years",3
"498","484530003042","60 and 61 years",21
"499","484530003042","62 to 64 years",17
"500","484530003042","65 and 66 years",0
"501","484530003042","67 to 69 years",19
"502","484530003042","70 to 74 years",18
"503","484530003042","75 to 79 years",0
"504","484530003042","80 to 84 years",0
"505","484530003042","85 years and over",17
"506","484530003042","Under 5 years",186
"507","484530003051","10 to 14 years",127
"508","484530003051","15 to 17 years",18
"509","484530003051","18 and 19 years",6
"510","484530003051","20 years",17
"511","484530003051","21 years",7
"512","484530003051","22 to 24 years",111
"513","484530003051","25 to 29 years",243
"514","484530003051","30 to 34 years",132
"515","484530003051","35 to 39 years",165
"516","484530003051","40 to 44 years",170
"517","484530003051","45 to 49 years",98
"518","484530003051","5 to 9 years",51
"519","484530003051","50 to 54 years",98
"520","484530003051","55 to 59 years",24
"521","484530003051","60 and 61 years",26
"522","484530003051","62 to 64 years",37
"523","484530003051","65 and 66 years",23
"524","484530003051","67 to 69 years",45
"525","484530003051","70 to 74 years",48
"526","484530003051","75 to 79 years",0
"527","484530003051","80 to 84 years",0
"528","484530003051","85 years and over",15
"529","484530003051","Under 5 years",85
"530","484530003052","10 to 14 years",11
"531","484530003052","15 to 17 years",0
"532","484530003052","18 and 19 years",4
"533","484530003052","20 years",30
"534","484530003052","21 years",5
"535","484530003052","22 to 24 years",45
"536","484530003052","25 to 29 years",217
"537","484530003052","30 to 34 years",115
"538","484530003052","35 to 39 years",54
"539","484530003052","40 to 44 years",59
"540","484530003052","45 to 49 years",30
"541","484530003052","5 to 9 years",39
"542","484530003052","50 to 54 years",50
"543","484530003052","55 to 59 years",18
"544","484530003052","60 and 61 years",10
"545","484530003052","62 to 64 years",49
"546","484530003052","65 and 66 years",34
"547","484530003052","67 to 69 years",0
"548","484530003052","70 to 74 years",16
"549","484530003052","75 to 79 years",0
"550","484530003052","80 to 84 years",0
"551","484530003052","85 years and over",0
"552","484530003052","Under 5 years",0
"553","484530003053","10 to 14 years",82
"554","484530003053","15 to 17 years",8
"555","484530003053","18 and 19 years",7
"556","484530003053","20 years",162
"557","484530003053","21 years",67
"558","484530003053","22 to 24 years",177
"559","484530003053","25 to 29 years",434
"560","484530003053","30 to 34 years",198
"561","484530003053","35 to 39 years",106
"562","484530003053","40 to 44 years",65
"563","484530003053","45 to 49 years",97
"564","484530003053","5 to 9 years",34
"565","484530003053","50 to 54 years",62
"566","484530003053","55 to 59 years",27
"567","484530003053","60 and 61 years",0
"568","484530003053","62 to 64 years",26
"569","484530003053","65 and 66 years",0
"570","484530003053","67 to 69 years",21
"571","484530003053","70 to 74 years",7
"572","484530003053","75 to 79 years",0
"573","484530003053","80 to 84 years",0
"574","484530003053","85 years and over",0
"575","484530003053","Under 5 years",18
"576","484530003061","10 to 14 years",211
"577","484530003061","15 to 17 years",34
"578","484530003061","18 and 19 years",12
"579","484530003061","20 years",111
"580","484530003061","21 years",0
"581","484530003061","22 to 24 years",345
"582","484530003061","25 to 29 years",507
"583","484530003061","30 to 34 years",674
"584","484530003061","35 to 39 years",671
"585","484530003061","40 to 44 years",460
"586","484530003061","45 to 49 years",326
"587","484530003061","5 to 9 years",354
"588","484530003061","50 to 54 years",314
"589","484530003061","55 to 59 years",372
"590","484530003061","60 and 61 years",102
"591","484530003061","62 to 64 years",108
"592","484530003061","65 and 66 years",35
"593","484530003061","67 to 69 years",110
"594","484530003061","70 to 74 years",157
"595","484530003061","75 to 79 years",97
"596","484530003061","80 to 84 years",47
"597","484530003061","85 years and over",10
"598","484530003061","Under 5 years",463
"599","484530003071","10 to 14 years",79
"600","484530003071","15 to 17 years",35
"601","484530003071","18 and 19 years",17
"602","484530003071","20 years",10
"603","484530003071","21 years",9
"604","484530003071","22 to 24 years",83
"605","484530003071","25 to 29 years",326
"606","484530003071","30 to 34 years",180
"607","484530003071","35 to 39 years",158
"608","484530003071","40 to 44 years",190
"609","484530003071","45 to 49 years",118
"610","484530003071","5 to 9 years",70
"611","484530003071","50 to 54 years",72
"612","484530003071","55 to 59 years",115
"613","484530003071","60 and 61 years",30
"614","484530003071","62 to 64 years",47
"615","484530003071","65 and 66 years",23
"616","484530003071","67 to 69 years",55
"617","484530003071","70 to 74 years",57
"618","484530003071","75 to 79 years",11
"619","484530003071","80 to 84 years",5
"620","484530003071","85 years and over",38
"621","484530003071","Under 5 years",88
"622","484530004011","10 to 14 years",36
"623","484530004011","15 to 17 years",19
"624","484530004011","18 and 19 years",16
"625","484530004011","20 years",0
"626","484530004011","21 years",8
"627","484530004011","22 to 24 years",45
"628","484530004011","25 to 29 years",479
"629","484530004011","30 to 34 years",255
"630","484530004011","35 to 39 years",133
"631","484530004011","40 to 44 years",138
"632","484530004011","45 to 49 years",147
"633","484530004011","5 to 9 years",99
"634","484530004011","50 to 54 years",47
"635","484530004011","55 to 59 years",99
"636","484530004011","60 and 61 years",52
"637","484530004011","62 to 64 years",50
"638","484530004011","65 and 66 years",29
"639","484530004011","67 to 69 years",40
"640","484530004011","70 to 74 years",7
"641","484530004011","75 to 79 years",0
"642","484530004011","80 to 84 years",6
"643","484530004011","85 years and over",0
"644","484530004011","Under 5 years",38
"645","484530004012","10 to 14 years",14
"646","484530004012","15 to 17 years",0
"647","484530004012","18 and 19 years",193
"648","484530004012","20 years",271
"649","484530004012","21 years",246
"650","484530004012","22 to 24 years",570
"651","484530004012","25 to 29 years",531
"652","484530004012","30 to 34 years",147
"653","484530004012","35 to 39 years",97
"654","484530004012","40 to 44 years",63
"655","484530004012","45 to 49 years",12
"656","484530004012","5 to 9 years",24
"657","484530004012","50 to 54 years",37
"658","484530004012","55 to 59 years",12
"659","484530004012","60 and 61 years",0
"660","484530004012","62 to 64 years",16
"661","484530004012","65 and 66 years",14
"662","484530004012","67 to 69 years",0
"663","484530004012","70 to 74 years",71
"664","484530004012","75 to 79 years",7
"665","484530004012","80 to 84 years",0
"666","484530004012","85 years and over",7
"667","484530004012","Under 5 years",46
"668","484530004021","10 to 14 years",14
"669","484530004021","15 to 17 years",0
"670","484530004021","18 and 19 years",4
"671","484530004021","20 years",20
"672","484530004021","21 years",19
"673","484530004021","22 to 24 years",90
"674","484530004021","25 to 29 years",458
"675","484530004021","30 to 34 years",156
"676","484530004021","35 to 39 years",108
"677","484530004021","40 to 44 years",124
"678","484530004021","45 to 49 years",79
"679","484530004021","5 to 9 years",53
"680","484530004021","50 to 54 years",18
"681","484530004021","55 to 59 years",23
"682","484530004021","60 and 61 years",0
"683","484530004021","62 to 64 years",50
"684","484530004021","65 and 66 years",4
"685","484530004021","67 to 69 years",16
"686","484530004021","70 to 74 years",8
"687","484530004021","75 to 79 years",7
"688","484530004021","80 to 84 years",0
"689","484530004021","85 years and over",0
"690","484530004021","Under 5 years",59
"691","484530004022","10 to 14 years",40
"692","484530004022","15 to 17 years",0
"693","484530004022","18 and 19 years",7
"694","484530004022","20 years",0
"695","484530004022","21 years",38
"696","484530004022","22 to 24 years",52
"697","484530004022","25 to 29 years",130
"698","484530004022","30 to 34 years",162
"699","484530004022","35 to 39 years",81
"700","484530004022","40 to 44 years",132
"701","484530004022","45 to 49 years",90
"702","484530004022","5 to 9 years",66
"703","484530004022","50 to 54 years",0
"704","484530004022","55 to 59 years",55
"705","484530004022","60 and 61 years",28
"706","484530004022","62 to 64 years",42
"707","484530004022","65 and 66 years",27
"708","484530004022","67 to 69 years",68
"709","484530004022","70 to 74 years",30
"710","484530004022","75 to 79 years",29
"711","484530004022","80 to 84 years",29
"712","484530004022","85 years and over",105
"713","484530004022","Under 5 years",241
"714","484530004023","10 to 14 years",0
"715","484530004023","15 to 17 years",0
"716","484530004023","18 and 19 years",0
"717","484530004023","20 years",8
"718","484530004023","21 years",0
"719","484530004023","22 to 24 years",65
"720","484530004023","25 to 29 years",77
"721","484530004023","30 to 34 years",116
"722","484530004023","35 to 39 years",94
"723","484530004023","40 to 44 years",81
"724","484530004023","45 to 49 years",84
"725","484530004023","5 to 9 years",13
"726","484530004023","50 to 54 years",14
"727","484530004023","55 to 59 years",40
"728","484530004023","60 and 61 years",45
"729","484530004023","62 to 64 years",38
"730","484530004023","65 and 66 years",8
"731","484530004023","67 to 69 years",16
"732","484530004023","70 to 74 years",9
"733","484530004023","75 to 79 years",15
"734","484530004023","80 to 84 years",6
"735","484530004023","85 years and over",29
"736","484530004023","Under 5 years",45
"737","484530005001","10 to 14 years",0
"738","484530005001","15 to 17 years",0
"739","484530005001","18 and 19 years",12
"740","484530005001","20 years",113
"741","484530005001","21 years",112
"742","484530005001","22 to 24 years",216
"743","484530005001","25 to 29 years",239
"744","484530005001","30 to 34 years",109
"745","484530005001","35 to 39 years",53
"746","484530005001","40 to 44 years",0
"747","484530005001","45 to 49 years",0
"748","484530005001","5 to 9 years",0
"749","484530005001","50 to 54 years",0
"750","484530005001","55 to 59 years",82
"751","484530005001","60 and 61 years",0
"752","484530005001","62 to 64 years",0
"753","484530005001","65 and 66 years",0
"754","484530005001","67 to 69 years",0
"755","484530005001","70 to 74 years",0
"756","484530005001","75 to 79 years",0
"757","484530005001","80 to 84 years",0
"758","484530005001","85 years and over",10
"759","484530005001","Under 5 years",0
"760","484530005002","10 to 14 years",0
"761","484530005002","15 to 17 years",0
"762","484530005002","18 and 19 years",65
"763","484530005002","20 years",93
"764","484530005002","21 years",193
"765","484530005002","22 to 24 years",72
"766","484530005002","25 to 29 years",263
"767","484530005002","30 to 34 years",108
"768","484530005002","35 to 39 years",67
"769","484530005002","40 to 44 years",45
"770","484530005002","45 to 49 years",1
"771","484530005002","5 to 9 years",7
"772","484530005002","50 to 54 years",37
"773","484530005002","55 to 59 years",35
"774","484530005002","60 and 61 years",15
"775","484530005002","62 to 64 years",0
"776","484530005002","65 and 66 years",2
"777","484530005002","67 to 69 years",2
"778","484530005002","70 to 74 years",1
"779","484530005002","75 to 79 years",8
"780","484530005002","80 to 84 years",9
"781","484530005002","85 years and over",34
"782","484530005002","Under 5 years",22
"783","484530005003","10 to 14 years",29
"784","484530005003","15 to 17 years",0
"785","484530005003","18 and 19 years",84
"786","484530005003","20 years",15
"787","484530005003","21 years",8
"788","484530005003","22 to 24 years",113
"789","484530005003","25 to 29 years",272
"790","484530005003","30 to 34 years",47
"791","484530005003","35 to 39 years",73
"792","484530005003","40 to 44 years",79
"793","484530005003","45 to 49 years",31
"794","484530005003","5 to 9 years",83
"795","484530005003","50 to 54 years",10
"796","484530005003","55 to 59 years",35
"797","484530005003","60 and 61 years",0
