,vertex,kappa,date
0,78617,0.4708660134381992,2018-01-01
1,78617,0.5257581506311334,2018-01-02
2,78617,0.5248071425228126,2018-01-03
3,78617,0.5457702171391564,2018-01-04
4,78617,0.5260326987092919,2018-01-05
5,78617,0.4466145354644562,2018-01-06
6,78617,0.4850947975287377,2018-01-07
7,78617,0.4973989485632371,2018-01-08
8,78617,0.5038846641785976,2018-01-09
9,78617,0.4583672897795111,2018-01-10
10,78617,0.4157879347627841,2018-01-11
11,78617,0.445370572738774,2018-01-12
12,78617,0.451073417036814,2018-01-13
13,78617,0.8721780525273073,2018-01-14
14,78617,0.4193611926914523,2018-01-15
15,78617,0.3947902772079339,2018-01-16
16,78617,0.3842493989007243,2018-01-17
17,78617,0.3871356135896161,2018-01-18
18,78617,0.4850733538533384,2018-01-19
19,78617,0.4064378956123033,2018-01-20
20,78617,0.4489857090315619,2018-01-21
21,78617,0.4720178514078967,2018-01-22
22,78617,0.4477661490017552,2018-01-23
23,78617,0.4699977457201327,2018-01-24
24,78617,0.3693958047431105,2018-01-25
25,78617,0.3838644896976887,2018-01-26
26,78617,0.4449938332318305,2018-01-27
27,78617,0.4069312071830191,2018-01-28
28,78617,0.4157685561347777,2018-01-29
29,78617,0.4194793850520381,2018-01-30
30,78617,0.4299098730340551,2018-01-31
31,78617,0.4756252976723297,2018-02-01
32,78617,0.440835519405061,2018-02-02
33,78617,0.3420167216491912,2018-02-03
34,78617,0.3303006739460072,2018-02-04
35,78617,0.3230130631261573,2018-02-05
36,78617,0.3084662097478102,2018-02-06
37,78617,0.333559516183535,2018-02-07
38,78617,0.3487890624256244,2018-02-08
39,78617,0.3959424109958006,2018-02-09
40,78617,0.4142108803784092,2018-02-10
41,78617,0.4104588618276652,2018-02-11
42,78617,0.3763967729789132,2018-02-12
43,78617,0.3993905203183711,2018-02-13
44,78617,0.4064926727054904,2018-02-14
45,78617,0.4025912674602799,2018-02-15
46,78617,0.5412251124277477,2018-02-16
47,78617,0.3566532965975899,2018-02-17
48,78617,0.3590279355179169,2018-02-18
49,78617,0.3874142567564307,2018-02-19
50,78617,0.3985635119014519,2018-02-20
51,78617,0.3957302404075477,2018-02-21
52,78617,0.3901014927310695,2018-02-22
53,78617,0.4624124212661349,2018-02-23
54,78617,0.3650644887438302,2018-02-24
55,78617,0.3340241637897494,2018-02-25
56,78617,0.3864168390536436,2018-02-26
57,78617,0.3773297626260142,2018-02-27
